archive,folder,files,loc_textual,rust_files,python_files,markdown_files,pdf_files,doc_like_files
cil1,.,52,13457,0,1,15,30,51
cil2,neal-cil,1,15,0,0,0,0,0
cil2,neal-cil/src,1,17,1,0,0,0,0
cil2,cilfsd,4,88,0,0,0,0,0
cil2,cilfsd/src,12,1496,12,0,0,0,0
cil2,cilfsd/etc,1,21,0,0,0,0,0
cil2,cil-tools,1,26,0,0,0,0,0
cil2,cil-tools/src,3,97,3,0,0,0,0
cil2,cil-taint,2,32,0,0,0,0,0
cil2,cil-taint/src,2,910,2,0,0,0,0
cil2,cil-subsystems,2,30,0,0,0,0,0
cil2,cil-subsystems/src,20,7164,20,0,0,0,0
cil2,cil-routing,2,30,0,0,0,0,0
cil2,cil-routing/src,2,808,2,0,0,0,0
cil2,cil-retrieval,2,32,0,0,0,0,0
cil2,cil-retrieval/src,2,904,2,0,0,0,0
cil2,cil-reasoning,2,30,0,0,0,0,0
cil2,cil-reasoning/src,2,2356,2,0,0,0,0
cil2,cil-quantization,6,1942,0,0,4,0,4
cil2,cil-quantization/src,50,35226,50,0,0,0,0
cil2,cil-pipeline,2,36,0,0,0,0,0
cil2,cil-pipeline/src,2,1582,2,0,0,0,0
cil2,cil-model,2,50,0,0,0,0,0
cil2,cil-model/src,6,3468,6,0,0,0,0
cil2,cil-governor,2,32,0,0,0,0,0
cil2,cil-governor/src,6,4396,6,0,0,0,0
cil2,cil-glaciald,1,20,0,0,0,0,0
cil2,cil-glaciald/src,1,232,1,0,0,0,0
cil2,cil-ffi,2,38,0,0,0,0,0
cil2,cil-ffi/src,2,742,2,0,0,0,0
cil2,cil-driftd,1,20,0,0,0,0,0
cil2,cil-driftd/src,1,203,1,0,0,0,0
cil2,cil-council,3,433,0,0,1,0,1
cil2,cil-council/src,20,18854,20,0,0,0,0
cil2,cil-core,2,26,0,0,0,0,0
cil2,cil-core/src,16,4418,16,0,0,0,0
cil2,cil-audit,2,30,0,0,0,0,0
cil2,cil-audit/src,2,1146,2,0,0,0,0
cil2,cil-adaptive,2,28,0,0,0,0,0
cil2,cil-adaptive/src,2,936,2,0,0,0,0
cil2,cil,33,8678,1,22,3,3,6
cil2,cil/src,10,1447,10,0,0,0,0
cil2,cil/tests,3,570,0,3,0,0,0
cil2,cil/chaos,1,277,0,1,0,0,0
cil2,cil/cli,1,307,0,1,0,0,0
cil2,cil/.pytest_cache,3,5,0,0,1,0,1
cil2,cil/.pytest_cache/v/cache,3,0,0,0,0,0,0
cil2,cil/cogos_bible,5,2588,0,5,0,0,0
cil2,cil/cogos_bible/core,2,199,0,2,0,0,0
cil2,cil/cogos_bible/domain_types,2,391,0,2,0,0,0
cil2,cil/cogos_bible/cil,2,1433,0,2,0,0,0
cil2,cil/cogos_bible/hardware,5,1595,0,5,0,0,0
cil2,cil/cogos_bible/observability,4,1573,0,4,0,0,0
cil2,cil/cogos_bible/simone,1,510,0,1,0,0,0
cil2,cil/cogos_bible/performance,1,213,0,1,0,0,0
cil2,cil/cogos_bible/performance/rust,1,19,0,0,0,0,0
cil2,cil/cogos_bible/performance/rust/src,1,240,1,0,0,0,0
cil2,cil/cogos_bible/events,2,504,0,2,0,0,0
cil2,cil/cogos_bible/resilience,2,480,0,2,0,0,0
cil2,cil/cogos_bible/audit,2,361,0,2,0,0,0
cil2,cil/cogos_bible/crypto,2,639,0,2,0,0,0
cil2,cil/cogos_bible/orchestration,1,453,0,1,0,0,0
cil2,cil/performance,1,213,0,1,0,0,0
cil2,cil/performance/rust,1,19,0,0,0,0,0
cil2,cil/performance/rust/src,1,240,1,0,0,0,0
cil2,cil/cil,2,1433,0,2,0,0,0
cil2,cil/core,2,199,0,2,0,0,0
cil2,cil/orchestration,1,453,0,1,0,0,0
cil2,cil/simone,1,510,0,1,0,0,0
cil2,cil/observability,4,1573,0,4,0,0,0
cil2,cil/events,2,504,0,2,0,0,0
cil2,cil/resilience,2,480,0,2,0,0,0
cil2,cil/audit,2,361,0,2,0,0,0
cil2,cil/hardware,5,1595,0,5,0,0,0
cil2,cil/crypto,2,639,0,2,0,0,0
cil2,cil/domain_types,2,391,0,2,0,0,0
